18.2, 17.05
25.82, 19.8
18.24, 15.98
28.6, 22.07
31.1, 22.83
33.6, 24.55
40.46, 27.27
28.27, 23.57
20.1, 13.58
27.91, 22.8
26.18, 20.3
22.12, 16.59
21.84, 16.84
23.44, 17.71
21.58, 25.45
28.92, 20.94
25.91, 26.48
26.92, 22.04
24.96, 22.72
22.06, 14.2
16.08, 15.6
27.56, 20.98
23.75, 19.5
23.32, 16.7
42.4, 23.03
28.64, 25.95
21.16, 14.59
29.14, 25.02
19.96, 12.12
26.38, 21.89
23.44, 19.45
23.78, 12.11
29.18, 23.68
18.06, 17.45
20.94, 14.11
20.08, 17.6
22.57, 20.74
14.0, 12.01
25.89, 21.22
21.17, 20.34
21.25, 20.55
22.86, 15.53
28.04, 15.92
30.34, 25.88
